Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method
Clothing,411.59,3,Changed mind,Returned,58,Male,City54,Debit Card,Next-Day
Books,288.88,3,Wrong item,Returned,68,Female,City85,Credit Card,Express
Toys,390.03,5,,Not Returned,22,Female,City30,Debit Card,Next-Day
Toys,401.09,3,,Not Returned,40,Male,City95,PayPal,Next-Day
Books,110.09,4,,Not Returned,34,Female,City80,Gift Card,Standard
Electronics,252.12,1,Defective,Returned,46,Female,City47,Debit Card,Next-Day
Clothing,382.89,2,Wrong item,Returned,25,Male,City50,Credit Card,Express
Electronics,306.39,3,Not as described,Returned,67,Female,City39,Credit Card,Express
Home,302.4,5,Defective,Returned,54,Male,City81,Debit Card,Standard
Clothing,294.94,3,Not as described,Returned,44,Male,City82,Credit Card,Standard
Toys,119,2,,Not Returned,70,Female,City41,Credit Card,Next-Day
Home,480.48,4,,Not Returned,54,Male,City22,Gift Card,Next-Day
Toys,216.41,3,,Not Returned,66,Male,City17,PayPal,Standard
Electronics,198.78,2,,Not Returned,51,Male,City85,PayPal,Next-Day
Electronics,146.37,4,,Not Returned,45,Male,City9,PayPal,Next-Day
Electronics,370.08,2,Wrong item,Returned,24,Female,City27,Credit Card,Standard
Clothing,311.08,1,,Not Returned,52,Female,City77,PayPal,Standard
Electronics,400.12,1,Defective,Returned,33,Male,City33,PayPal,Standard
Books,358.31,1,Changed mind,Returned,51,Female,City43,PayPal,Standard
Electronics,227.94,5,Changed mind,Returned,50,Female,City64,Debit Card,Express
Clothing,6.14,1,,Not Returned,31,Female,City70,Credit Card,Next-Day
Books,85.69,2,Changed mind,Returned,30,Female,City26,Debit Card,Standard
Books,227.2,5,Wrong item,Returned,65,Female,City90,Gift Card,Next-Day
Electronics,57.14,2,Wrong item,Returned,41,Female,City28,Gift Card,Standard
Toys,274.29,2,,Not Returned,18,Male,City84,Gift Card,Express
Electronics,371.15,5,,Not Returned,58,Female,City83,Gift Card,Standard
Toys,232.97,5,,Not Returned,21,Female,City98,Debit Card,Express
Home,455.82,1,,Not Returned,52,Female,City10,PayPal,Express
Toys,106.6,5,Defective,Returned,53,Male,City69,Credit Card,Standard
Books,317.9,5,,Not Returned,59,Female,City32,Gift Card,Standard
Toys,413.34,3,,Not Returned,49,Male,City55,Credit Card,Standard
Electronics,481.73,5,,Not Returned,28,Female,City79,Credit Card,Next-Day
Toys,308.89,4,,Not Returned,68,Female,City47,Debit Card,Express
Home,335.28,4,Wrong item,Returned,18,Male,City20,Debit Card,Next-Day
Toys,290.49,3,,Not Returned,34,Male,City42,PayPal,Next-Day
Clothing,331.26,2,,Not Returned,46,Female,City95,PayPal,Standard
Electronics,115.82,5,Defective,Returned,54,Female,City43,Credit Card,Express
Clothing,246.15,1,Wrong item,Returned,31,Female,City62,Gift Card,Standard
Toys,43.82,2,,Not Returned,28,Female,City11,Credit Card,Next-Day
Toys,266.34,4,Wrong item,Returned,44,Female,City60,PayPal,Standard
Toys,351.52,1,,Not Returned,46,Male,City42,PayPal,Next-Day
Books,334.27,4,Changed mind,Returned,69,Male,City81,PayPal,Express
Books,240.65,2,,Not Returned,33,Female,City61,Gift Card,Standard
Clothing,105.7,3,Wrong item,Returned,44,Male,City41,Credit Card,Next-Day
Home,188.76,3,,Not Returned,66,Female,City12,Gift Card,Standard
Toys,294.18,2,Changed mind,Returned,69,Male,City89,Gift Card,Next-Day
Home,97.31,2,Changed mind,Returned,53,Female,City49,Debit Card,Next-Day
Home,335.96,2,Wrong item,Returned,63,Male,City5,Credit Card,Standard
Electronics,344.31,4,Not as described,Returned,36,Male,City68,Credit Card,Express
Clothing,297.62,4,,Not Returned,52,Male,City53,Credit Card,Express
Books,23.6,1,Defective,Returned,37,Female,City12,Credit Card,Next-Day
Toys,495.34,3,,Not Returned,46,Female,City50,Debit Card,Express
Toys,49.47,2,,Not Returned,53,Female,City46,Credit Card,Express
Clothing,359.9,3,Defective,Returned,55,Female,City23,Debit Card,Standard
Home,283.79,2,,Not Returned,42,Male,City76,Debit Card,Next-Day
Home,352.93,4,Changed mind,Returned,34,Male,City31,Gift Card,Express
Electronics,353.51,4,,Not Returned,39,Female,City24,Debit Card,Standard
Books,301.68,2,Changed mind,Returned,47,Male,City16,PayPal,Standard
Home,129.94,5,,Not Returned,65,Female,City37,PayPal,Next-Day
Electronics,16.37,2,,Not Returned,32,Male,City65,Credit Card,Next-Day
Books,389.83,4,Wrong item,Returned,40,Female,City44,Gift Card,Express
Home,344.6,4,,Not Returned,28,Female,City80,PayPal,Next-Day
Clothing,195.24,5,,Not Returned,53,Female,City3,Gift Card,Express
Clothing,428,1,,Not Returned,50,Female,City81,Debit Card,Standard
Books,429.41,3,Wrong item,Returned,53,Male,City44,Debit Card,Next-Day
Toys,280.61,2,Defective,Returned,32,Male,City92,Debit Card,Express
Books,142.71,2,,Not Returned,60,Female,City75,Debit Card,Next-Day
Toys,227.79,3,Not as described,Returned,70,Female,City31,Gift Card,Next-Day
Electronics,394.08,3,Wrong item,Returned,62,Male,City28,Credit Card,Next-Day
Clothing,266.88,2,,Not Returned,65,Female,City3,Debit Card,Next-Day
Toys,87.17,4,Defective,Returned,46,Female,City50,Gift Card,Express
Toys,312.45,4,,Not Returned,30,Female,City100,PayPal,Next-Day
Toys,481.58,3,,Not Returned,39,Male,City97,Debit Card,Next-Day
Clothing,283.14,5,,Not Returned,62,Male,City43,Credit Card,Standard
Toys,84.9,5,,Not Returned,67,Female,City43,Gift Card,Next-Day
Electronics,332.39,5,Not as described,Returned,36,Male,City53,Debit Card,Next-Day
Electronics,139.6,5,,Not Returned,34,Male,City24,PayPal,Standard
Books,185.34,2,Not as described,Returned,31,Female,City34,PayPal,Standard
Toys,64.29,2,Not as described,Returned,39,Male,City57,Debit Card,Express
Electronics,231.65,5,,Not Returned,58,Male,City14,Debit Card,Standard
Electronics,44.48,1,,Not Returned,50,Male,City8,Debit Card,Express
Clothing,429.47,5,Defective,Returned,39,Male,City10,Gift Card,Standard
Electronics,496.22,5,Changed mind,Returned,67,Male,City36,Gift Card,Next-Day
Electronics,52.19,1,Not as described,Returned,21,Female,City100,Debit Card,Standard
Books,427.29,3,,Not Returned,51,Male,City28,PayPal,Standard
Home,283.68,3,,Not Returned,49,Male,City95,Credit Card,Next-Day
Home,255.78,2,,Not Returned,63,Female,City52,Credit Card,Next-Day
Books,478.47,4,,Not Returned,22,Female,City71,PayPal,Standard
Electronics,78.94,2,Changed mind,Returned,23,Female,City1,Credit Card,Express
Home,481.66,3,,Not Returned,28,Male,City4,PayPal,Next-Day
Toys,193.16,3,,Not Returned,56,Male,City11,PayPal,Express
Toys,99.21,1,Not as described,Returned,29,Female,City17,PayPal,Next-Day
Home,394.71,4,Changed mind,Returned,66,Female,City25,Gift Card,Next-Day
Home,230.9,2,Defective,Returned,69,Male,City10,Credit Card,Next-Day
Clothing,296.56,1,,Not Returned,39,Female,City97,Gift Card,Standard
Books,490.55,1,,Not Returned,62,Male,City10,PayPal,Standard
Toys,496.31,4,Defective,Returned,53,Male,City88,Gift Card,Next-Day
Toys,104.39,2,Defective,Returned,58,Female,City46,Credit Card,Standard
Clothing,434.25,5,,Not Returned,18,Female,City83,Gift Card,Express
